"","Year","Month","Run","Salvage.Total","Total.Exports","OMR","Total.exports.z","OMR.z","Discharge.z"
"372",2000,"May","Fall",16738,2823.774194,-2210.177419,-0.673299558758091,-0.560983709765431,-0.446333691620157
"385",2001,"April","Winter",138,3832.6,-2697.233333,-0.330481086922332,-0.662848025215792,-0.82038150310511
"386",2001,"April","LateFall",6,3832.6,-2697.233333,-0.330481086922332,-0.662848025215792,-0.82038150310511
"387",2001,"April","Fall",20731,3832.6,-2697.233333,-0.330481086922332,-0.662848025215792,-0.82038150310511
"388",2001,"April","Spring",14128,3832.6,-2697.233333,-0.330481086922332,-0.662848025215792,-0.82038150310511
"409",2001,"June","Fall",516,2904.666667,-3217,-0.645810735799814,-0.771553564366417,-0.829217278179558
"410",2001,"June","Spring",0,2904.666667,-3217,-0.645810735799814,-0.771553564366417,-0.829217278179558
"411",2001,"June","Winter",0,2904.666667,-3217,-0.645810735799814,-0.771553564366417,-0.829217278179558
"412",2001,"June","LateFall",0,2904.666667,-3217,-0.645810735799814,-0.771553564366417,-0.829217278179558
"417",2001,"May","LateFall",0,1406.7096774,-715.7419355,-1.15484542047596,-0.248433049490609,-0.989733858698691
"418",2001,"May","Spring",1380,1406.7096774,-715.7419355,-1.15484542047596,-0.248433049490609,-0.989733858698691
"419",2001,"May","Winter",0,1406.7096774,-715.7419355,-1.15484542047596,-0.248433049490609,-0.989733858698691
"420",2001,"May","Fall",7860,1406.7096774,-715.7419355,-1.15484542047596,-0.248433049490609,-0.989733858698691
"465",2002,"May","LateFall",0,1480.3548388,-2030.645161,-1.12981937381945,-0.523435801944671,-0.806244262985994
"466",2002,"May","Fall",3167,1480.3548388,-2030.645161,-1.12981937381945,-0.523435801944671,-0.806244262985994
"467",2002,"May","Spring",695,1480.3548388,-2030.645161,-1.12981937381945,-0.523435801944671,-0.806244262985994
"468",2002,"May","Winter",0,1480.3548388,-2030.645161,-1.12981937381945,-0.523435801944671,-0.806244262985994
"513",2003,"May","Spring",914,2342.0322577,-1994.870968,-0.837004762807526,-0.515953881335585,0.588041043761855
"514",2003,"May","Fall",2345,2342.0322577,-1994.870968,-0.837004762807526,-0.515953881335585,0.588041043761855
"515",2003,"May","Winter",24,2342.0322577,-1994.870968,-0.837004762807526,-0.515953881335585,0.588041043761855
"516",2003,"May","LateFall",0,2342.0322577,-1994.870968,-0.837004762807526,-0.515953881335585,0.588041043761855
"529",2004,"April","Fall",2515,4019.166667,-1498.238095,-0.267082134104078,-0.412086612333917,-0.326756202279298
"530",2004,"April","Winter",12,4019.166667,-1498.238095,-0.267082134104078,-0.412086612333917,-0.326756202279298
"531",2004,"April","Spring",2319,4019.166667,-1498.238095,-0.267082134104078,-0.412086612333917,-0.326756202279298
"532",2004,"April","LateFall",0,4019.166667,-1498.238095,-0.267082134104078,-0.412086612333917,-0.326756202279298
"557",2004,"March","Fall",16482,11015.774193,-2749,2.11050008656514,-0.673674659172035,1.01687066070838
"558",2004,"March","Winter",2004,11015.774193,-2749,2.11050008656514,-0.673674659172035,1.01687066070838
"559",2004,"March","LateFall",0,11015.774193,-2749,2.11050008656514,-0.673674659172035,1.01687066070838
"560",2004,"March","Spring",2018,11015.774193,-2749,2.11050008656514,-0.673674659172035,1.01687066070838
"561",2004,"May","Fall",2471,1691.9354838,-2150.083871,-1.05792018869003,-0.548415567270802,-0.799175642926436
"562",2004,"May","Winter",6,1691.9354838,-2150.083871,-1.05792018869003,-0.548415567270802,-0.799175642926436
"563",2004,"May","Spring",384,1691.9354838,-2150.083871,-1.05792018869003,-0.548415567270802,-0.799175642926436
"564",2004,"May","LateFall",0,1691.9354838,-2150.083871,-1.05792018869003,-0.548415567270802,-0.799175642926436
"577",2005,"April","LateFall",0,5876.966667,-286.1666667,0.364234147843286,-0.15859040630957,-0.483443946932837
"578",2005,"April","Fall",2671,5876.966667,-286.1666667,0.364234147843286,-0.15859040630957,-0.483443946932837
"579",2005,"April","Spring",9751,5876.966667,-286.1666667,0.364234147843286,-0.15859040630957,-0.483443946932837
"580",2005,"April","Winter",33,5876.966667,-286.1666667,0.364234147843286,-0.15859040630957,-0.483443946932837
"601",2005,"June","Winter",0,9659.666667,-2624.433333,1.64966858627708,-0.64762241774111,-0.232507934818522
"602",2005,"June","LateFall",0,9659.666667,-2624.433333,1.64966858627708,-0.64762241774111,-0.232507934818522
"603",2005,"June","Fall",3309,9659.666667,-2624.433333,1.64966858627708,-0.64762241774111,-0.232507934818522
"604",2005,"June","Spring",194,9659.666667,-2624.433333,1.64966858627708,-0.64762241774111,-0.232507934818522
